1,1,1,1,2,3,2,2,4,5,2,3,2,2,2,2,4,5,2,3,2,2,6,3,4,5,2,7,8,9,10,1,1,1,1,1,2,3,2,2,4,5,2,3,2,2,2,2,
1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,14,12,12,12,12,12,15,16,17,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,18,
1,1,1,23,24,25,26,27,28,24,24,25,26,27,28,29,24,30,31,31,32,28,24,25,26,27,28,33,34,35,36,37,1,1,1,1,24,25,26,27,28,24,30,31,31,32,28,24,
46,23,47,48,24,49,50,51,52,29,24,49,50,51,52,29,29,53,54,55,56,52,24,49,50,51,52,24,57,58,59,60,1,1,1,1,24,49,50,51,52,29,53,54,55,56,52,24,
71,72,73,74,29,75,76,77,78,29,79,75,76,77,78,29,79,53,80,81,82,78,29,75,76,77,78,29,83,84,85,60,1,1,1,1,29,75,76,77,78,79,53,80,81,82,78,29,
98,98,98,98,79,99,100,77,101,24,102,99,100,77,101,24,102,53,103,104,105,101,79,99,100,77,101,106,107,108,109,60,1,1,110,111,79,99,100,77,101,102,53,103,104,105,101,79,
126,126,126,126,102,127,128,128,129,24,130,127,128,128,129,29,131,53,132,133,134,135,102,127,128,128,129,136,137,138,139,60,1,1,140,141,102,127,128,128,129,131,53,132,133,134,135,102,
156,156,156,156,130,24,157,158,157,29,24,158,157,158,29,33,159,53,160,161,162,163,130,24,164,165,166,167,168,169,170,171,172,173,174,175,130,24,157,158,157,159,53,160,161,162,163,130,
190,190,190,190,29,29,24,191,24,24,29,29,29,29,29,33,192,53,193,193,194,195,29,29,196,197,198,199,200,201,202,203,204,205,206,207,29,29,24,191,24,192,53,193,193,194,195,29,
208,208,208,208,209,209,210,211,209,212,212,213,212,210,209,214,215,216,217,217,218,219,209,210,220,221,222,223,224,225,226,227,228,229,230,229,209,209,210,211,214,215,216,217,217,218,219,231,
232,233,234,235,232,233,234,235,232,233,234,235,232,233,234,235,232,233,234,235,232,233,234,235,232,233,234,235,232,233,233,235,232,233,234,235,232,233,234,235,232,233,234,235,232,233,234,235,
236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,236,237,238,239,
241,242,243,244,245,246,247,248,241,242,244,245,246,247,248,241,242,243,243,244,245,246,247,248,241,242,244,245,246,247,248,241,242,244,245,246,247,248,241,242,243,243,244,245,246,247,248,241,
249,250,251,252,253,254,255,256,249,250,252,253,254,255,256,249,250,251,256,252,253,254,255,256,249,250,252,253,254,255,256,249,250,252,253,254,255,256,249,250,251,256,252,253,254,255,256,249
